IP,Name,What is it,Notes,,IP,Name,What is it,Notes,
10.5.1.1,Gateway,,,,10.5.10.1,Gateway,,,
10.5.1.2,,,,,10.5.10.2,Sophos Firewall #1,Firewall,???,
10.5.1.3,Sophos Management Port,,,,10.5.10.3,Sophos Firewall #2 - WAN,Firewall,??? 02/01/2024 - temporarily used for SOPHOS Firewall #1 WAN to register,
10.5.1.4,Fileserver01,server,,,10.5.10.4,HR Wifi Access Point,WiFi AP,,
10.5.1.5,Fileserver,server,,,10.5.10.5,HR Wifi Access Point,WiFi AP,,
10.5.1.6,DCSERVER2016-VM,server,,,10.5.10.6,HR Wifi Access Point,WiFi AP,,
10.5.1.7,CCLS-MyPC,server,"PC Management server ""CCLS-MyPC""",,10.5.10.7,Itinerant Baby,Louie Router,Used with STEM mic system,
10.5.1.8,DNS,,,,10.5.10.8,,,,
10.5.1.9,ItivaServer - Host,,,,10.5.10.9,,,,
10.5.1.10,,,was DansGuardian,,10.5.10.10,Door Acesss System,Panel,,
10.5.1.11,TS Ricoh IM C2510,Printer,Tech SVS Printer,,10.5.10.11,Milestone/Huskey,Security Camera Server,,
10.5.1.12,HP Circ Counter B&W,Printer,hp LaserJet 2420,,10.5.10.12,,,,
10.5.1.13,Canon ecolor+ Series 2 ,Printer,Canon Plotter Printer,,10.5.10.13,,,,
10.5.1.14,HP Printer ,Printer,HP LaserJet P3015 Printers,,10.5.10.14,,,,
10.5.1.15,Ref Office Printer,Printer,HP LaserJet 400 M401n,,10.5.10.15,,,,
10.5.1.16,VT1F-SPM-16,Sam,Sam Print Man,,10.5.10.16,HP Color LaserJet CP5225dn,Printer,,
10.5.1.17,,,,,10.5.10.17,HP OfficeJet Pro 9020,Printer - Maintenance Area ,for Bill Weaver ,
10.5.1.18,HP Ploter Printer,Printer,HP Designjet T1100ps 24in,,10.5.10.18,HP L-Jet 4050n,Printer,,
10.5.1.19,YS Ricoh IM C2510,Printer,Youth Services Color MFP,,10.5.10.19,pdqserver-vm,Server,PDQ Server,
10.5.1.20,YS Ricoh P C600,Printer,Youth Services Color Printer,,10.5.10.20,appserver-host,Server,,
10.5.1.21,HP Maintenance Printer,Printer,HP LaserJet M402dne,,10.5.10.21,Test Server,Server,Passbolt and Koha Sandbox,
10.5.1.22,HP Ref Desk Printer,Printer,HP L-Jet P2055dn,,10.5.10.22,swsserver,server,,
10.5.1.23,HP Printer,Printer,HP L-Jet P3015,,10.5.10.23,,,,
10.5.1.24,Lit Printer,Printer,HP OfficeJet Pro 9020 series,,10.5.10.24,,,Formerly Old Test Server callled AppServer3-Host,
10.5.1.25,Business Office MFP,Printer,HP OfficeJet Pro 9020 series,,10.5.10.25,CMS Test Site,VM,,
10.5.1.26,HP Color Printer,Printer,HP Color LaserJet CP4025 Printers,,10.5.10.26,,,,
10.5.1.27,Oasis Ricoh P C600,Printer,Oasis Color Printer,,10.5.10.27,Louie/Masqualero Router,,,
10.5.1.28,HP OfficeJet Pro 9020,Printer,Lindas Office Printer,,10.5.10.28,,,,
10.5.1.29,Oasis Ricoh IM C2510,Printer,Oasis Color MFP,,10.5.10.29,VTIIIWIFI,Louie Router,for HR/PR,
10.5.1.30,Dell Cicr Area B&W,Printer,Dell B2360dn Laser Printer,,10.5.10.30,MDTServer-VM,Server,MDT Server,
10.5.1.31,Ricoh MFP,Printer,IM C2500 Admin area,,10.5.10.31,MDT Imaging IP,Reserved IP,,
10.5.1.32,Brother MFC-8710DW,Printer,Ref Desk Brother B&W,,10.5.10.32,MDT Imaging IP,Reserved IP,,
10.5.1.33,VT2F-SCANPRO-33,PC,,,10.5.10.33,MDT Imaging IP,Reserved IP,,
10.5.1.34,VO0123-SP,Scan pro microfiche PC,,,10.5.10.34,MDT Imaging IP,Reserved IP,,
10.5.1.35,VO0223-SP,Scan pro microfiche PC,,,10.5.10.35,MDT Imaging IP,Reserved IP,,
10.5.1.36,HP ILL Printer,Printer,HP LaserJet M402dne,,10.5.10.36,MDT Imaging IP,Reserved IP,,
10.5.1.37,HP OfficeJet Pro 9020,Printer,Jenn's Printer,,10.5.10.37,MDT Imaging IP,Reserved IP,,
10.5.1.38,,,,,10.5.10.38,MDT Imaging IP,Reserved IP,,
10.5.1.39,,,,,10.5.10.39,,,,
10.5.1.40,VT1F-TEEND-40,PC - Staff,Diana Fults,,10.5.10.40,WebServer1-Host,Server,,
10.5.1.41,VT3F-LITP-41,PC - Staff,pub-lit,,10.5.10.41,Test Content Filter,VM,,
10.5.1.42,,,,,10.5.10.42,VMServer01-Host,Server,Exchnage VM's Host server,
10.5.1.43,,,,,10.5.10.43,VMServer02-Host,Server,"SAM, PDQ, DC, VT Dansguardian",
10.5.1.44,VL0023,PC - Staff Laptop,LVA Laptop,,10.5.10.44,WSUSServer-VM,Server,WSUS Server,
10.5.1.45,VM0219,PC - Staff - Maintenance,Bill Weaver,,10.5.10.45,,,,
10.5.1.46,VT3F-LVA-46,PC - Staff,Susan Mulholland,,10.5.10.46,,,,
10.5.1.47,VT1F-MAINT-47T,PC - Staff,Kevin Coleman,,10.5.10.47,,,Formerly old Koha-Test VM,
10.5.1.48,VT1F-CHD01-48,PC - Pub,pub-child,,10.5.10.48,,,,
10.5.1.49,VT1F-CIRC-49X,PC - Staff,,,10.5.10.49,,,,
10.5.1.50,,,,,10.5.10.50,,,Formerly 1st Fl Cisco Switch,
10.5.1.51,VT1F-CIRC-51,PC - Staff,Eric Spiecker,,10.5.10.51,,,Formerly 1st Fl Cisco Switch,
10.5.1.52,,,,,10.5.10.52,1st Fl Cisco Switch,,,
10.5.1.53,VT3F-TECH-53T,PC - Staff,Mary Ann Slotwinksi,,10.5.10.53,,,,
10.5.1.54,VT3F-BOF-54,PC - Staff,Mary Pat Condon,,10.5.10.54,,,,
10.5.1.55,VT2F-REFO-55,PC - Staff,Mindy Johnson,,10.5.10.55,,,,
10.5.1.56,VT3F-WUG-56,PC - Staff,,,10.5.10.56,,,,
10.5.1.57,,,,,10.5.10.57,,,,
10.5.1.58,VB0222,PC - Staff,Joanne McCarty,,10.5.10.58,,,,
10.5.1.59,VT1F-BOM-59,PC - Staff,Building Ops manager PC,,10.5.10.59,,,,
10.5.1.60,VT1F-CIRC-60T,PC - Staff,Linda Calascone,,10.5.10.60,,,Formerly 2nd Fl Cisco Switch,
10.5.1.61,VT1F-CIRC-61T,PC - Staff,vtcircle,,10.5.10.61,2nd Fl Cisco Switch,,,
10.5.1.62,VT1F-CIRC-62,PC - Staff,Peter Corda,,10.5.10.62,2nd Fl Cisco Switch,,,
10.5.1.63,VT1F-CIRC-63T,PC - Staff,Sheila Werkley,,10.5.10.63,,,,
10.5.1.64,VT1F-CIRC-64T,PC - Staff,vtcircle,,10.5.10.64,,,,
10.5.1.65,VT1F-CIRC-65,PC - Staff,vtcircle,,10.5.10.65,,,,
10.5.1.66,VT1F-CIRC-66T,PC - Staff,Maureen Holmes,,10.5.10.66,,,,
10.5.1.67,VT1F-CIRC-67,PC - Staff,Elaine Bitetti,,10.5.10.67,,,,
10.5.1.68,VT3F-TECH-68T,PC - Staff,Julie Mumma,,10.5.10.68,,,,
10.5.1.69,,,,,10.5.10.69,,,,
10.5.1.70,VT3F-TECH-70T,PC - Staff,Danielle LaRose,,10.5.10.70,3rd Fl Cisco Switch,switch,Switch on shelf by door,
10.5.1.71,VT3F-TECH-71T,PC - Staff,Joanna Darnell,,10.5.10.71,,,Formerly 3rd Fl Cisco Switch,
10.5.1.72,VT3F-TECH-72T,PC - Staff,Ashley Mitchell,,10.5.10.72,,,Formerly 3rd Fl Cisco Switch,
10.5.1.73,VT3F-TECH-73,PC - Staff,Kelly Davenport,,10.5.10.73,3rd Fl Cisco Switch,switch,Switch in rack,
10.5.1.74,,,,,10.5.10.74,,,,
10.5.1.75,,,,,10.5.10.75,,,,
10.5.1.76,Temp IP [TBS-PubTEST],TBS Pubilc Test PC,Seumas Test IP,,10.5.10.76,Passbolt,VM,,
10.5.1.77,,,,,10.5.10.77,Test osTicket,VM,,
10.5.1.78,,,,,10.5.10.78,Test Intercept,VM,,
10.5.1.79,VT2F-SCAN-79,PC - Pub,,,10.5.10.79,Test Koha,VM,,
10.5.1.80,,,,,10.5.10.80,,,,
10.5.1.81,VT1F-CHDO-81,PC - Pub,CHILDD,,10.5.10.81,,,,
10.5.1.82,VT1F-CHDO-82,PC - Pub,Sarah Dziunycz,,10.5.10.82,,,,
10.5.1.83,VT1F-CHDO-83,PC - Pub,CHILDD,,10.5.10.83,,,,
10.5.1.84,CCLS-Connector,Virtual Machine,on CCLS-MyPC,,10.5.10.84,,,,
10.5.1.85,,,,,10.5.10.85,,,,
10.5.1.86,,,,,10.5.10.86,,,,
10.5.1.87,,,,,10.5.10.87,,,,
10.5.1.88,,,,,10.5.10.88,,,,
10.5.1.89,,,,,10.5.10.89,,,,
10.5.1.90,,,,,10.5.10.90,,,,
10.5.1.91,,,,,10.5.10.91,,,,
10.5.1.92,,,,,10.5.10.92,,,,
10.5.1.93,,,,,10.5.10.93,,,,
10.5.1.94,,,,,10.5.10.94,,,,
10.5.1.95,,,,,10.5.10.95,,,,
10.5.1.96,,,,,10.5.10.96,,,,
10.5.1.97,,,,,10.5.10.97,,,,
10.5.1.98,VT2F-ASO-98,PC - Staff,,,10.5.10.98,,,,
10.5.1.99,VR0118,PC - Staff - Adult Serv,Rosemary Johnson,,10.5.10.99,,,,
10.5.1.100,,,,,10.5.10.100,Temp Sec CCTV PC,Temp Security CCTV PC,At VT Circ Desk,
10.5.1.101,VT3F-MGR-101T,PC - Staff - Manager,Jenn Druce,,10.5.10.101,,,,
10.5.1.102,VA0122,PC - Staff - Manager,Christen Orbanus,,10.5.10.102,,,,
10.5.1.103,VT1F-CIRC-103T,PC - Staff,vtcircle,,10.5.10.103,,,,
10.5.1.104,VT1F-CIRCD-104,PC - Staff,vtcircle,,10.5.10.104,,,,
10.5.1.105,VT2F-REFO-105T,PC - Staff,Barbara Snyder,,10.5.10.105,,,,
10.5.1.106,VT2F-AS-106,PC - Staff,,,10.5.10.106,,,,
10.5.1.107,,,,,10.5.10.107,,,,
10.5.1.108,,,,,10.5.10.108,,,,
10.5.1.109,HR Ricoh MFP ,Printer,IM C6000,,10.5.10.109,,,,
10.5.1.110,VT1F-INFO-110T,PC - Staff,,,10.5.10.110,,,,
10.5.1.111,VT1F-CIRC-111T,PC - Staff,,,10.5.10.111,,,,
10.5.1.112,,,,,10.5.10.112,,,,
10.5.1.113,VT2F-REFO-113T,PC - Staff,,,10.5.10.113,,,,
10.5.1.114,,,,,10.5.10.114,,,,
10.5.1.115,,,,,10.5.10.115,,,,
10.5.1.116,VT1F-CHD02-116,PC - Pub,,,10.5.10.116,,,,
10.5.1.117,VT1F-CHD03-117,PC - Pub,,,10.5.10.117,,,,
10.5.1.118,VT1F-CHD04-118,PC - Pub,,,10.5.10.118,,,,
10.5.1.119,VT1F-CHD05-119,PC - Pub,,,10.5.10.119,,,,
10.5.1.120,VT1F-CHD06-120,PC - Pub,,,10.5.10.120,,,,
10.5.1.121,VT1F-CIRCD-121,PC - Staff,,,10.5.10.121,,,,
10.5.1.122,VT1F-CHDD-122,PC - Staff,,,10.5.10.122,,,,
10.5.1.123,VT2F-REFO-123,PC - Staff,,,10.5.10.123,,,,
10.5.1.124,VT2F-REFD-124,PC - Staff,,,10.5.10.124,,,,
10.5.1.125,VT3F-TECH-125T,PC - Staff,,,10.5.10.125,,,,
10.5.1.126,,,,,10.5.10.126,,,,
10.5.1.127,,,,,10.5.10.127,,,,
10.5.1.128,VT3F-HR-128T,PC - Staff,,,10.5.10.128,,,,
10.5.1.129,VT2F-AS-129,PC - Staff,,,10.5.10.129,,,,
10.5.1.130,,,,,10.5.10.130,,,,
10.5.1.131,,,,,10.5.10.131,,,,
10.5.1.132,ChromeOS Flex,PC - Staff,In Maintenance dept,,10.5.10.132,,,,
10.5.1.133,VT3F-IT-133,PC - Staff,,,10.5.10.133,,,,
10.5.1.134,VT-LVA-134,PC - Staff,,,10.5.10.134,,,,
10.5.1.135,VI0224,PC - Staff - IT,Alex Capriotti,,10.5.10.135,,,,
10.5.1.136,,,,,10.5.10.136,,,,
10.5.1.137,,,,,10.5.10.137,,,,
10.5.1.138,VT3F-BOF-138,PC - Staff,,,10.5.10.138,,,,
10.5.1.139,VP0124,PC - Staff,Carly Corwonski,,10.5.10.139,,,,
10.5.1.140,,,,,10.5.10.140,,,,
10.5.1.141,VT2F-REFO-141,PC - Staff,,,10.5.10.141,,,,
10.5.1.142,VT2F-REFD-142,PC - Staff,,,10.5.10.142,,,,
10.5.1.143,VT3F-TECH-143T,PC - Staff,No User. Was Liam Fleming,,10.5.10.143,,,,
10.5.1.144,,,,,10.5.10.144,,,,
10.5.1.145,VT3F-MGR-145,PC - Staff - Manager,,,10.5.10.145,,,,
10.5.1.146,VT1F-MGR-146,PC - Staff - Manager,,,10.5.10.146,,,,
10.5.1.147,VT1F-CIRC-147T,PC - Staff,,,10.5.10.147,,,,
10.5.1.148,,,,,10.5.10.148,,,,
10.5.1.149,VT1F-CHDD-149,PC - Staff,,,10.5.10.149,,,,
10.5.1.150,,,,,10.5.10.150,,,,
10.5.1.151,VT3F-STF-151,PC - Staff,,,10.5.10.151,,,,
10.5.1.152,VT3F-IT-152X,PC - Staff,Chris Slone,,10.5.10.152,,,,
10.5.1.153,VT1F-ILL-153T,PC - Staff,,,10.5.10.153,,,,
10.5.1.154,VT3F-TTC01-154,PC - Pub,,,10.5.10.154,,,,
10.5.1.155,VT3F-TTC02-155,PC - Pub,,,10.5.10.155,,,,
10.5.1.156,VT3F-TTC03-156,PC - Pub,,,10.5.10.156,,,,
10.5.1.157,VT3F-TTC04-157,PC - Pub,,,10.5.10.157,,,,
10.5.1.158,VT3F-TTC05-158,PC - Pub,,,10.5.10.158,,,,
10.5.1.159,VT3F-TTC06-159,PC - Pub,,,10.5.10.159,,,,
10.5.1.160,VT3F-TTC07-160,PC - Pub,,,10.5.10.160,,,,
10.5.1.161,VT3F-TTC08-161,PC - Pub,,,10.5.10.161,,,,
10.5.1.162,VT3F-TTC09-162,PC - Pub,,,10.5.10.162,,,,
10.5.1.163,VT3F-TTC10-163,PC - Pub,,,10.5.10.163,,,,
10.5.1.164,VT3F-TTC11-164,PC - Pub,,,10.5.10.164,,,,
10.5.1.165,VT3F-TTC12-165,PC - Pub,,,10.5.10.165,,,,
10.5.1.166,VT3F-TTCD-166,PC - Staff,,,10.5.10.166,,,,
10.5.1.167,,,,,10.5.10.167,,,,
10.5.1.168,VT2F-REFO-168T,PC - Staff,,,10.5.10.168,,,,
10.5.1.169,VT1F-SUS-169X,PC - Sam,,,10.5.10.169,,,,
10.5.1.170,,,,,10.5.10.170,,,,
10.5.1.171,,,,,10.5.10.171,,,,
10.5.1.172,,,,,10.5.10.172,,,,
10.5.1.173,,,,,10.5.10.173,,,,
10.5.1.174,,,,,10.5.10.174,,,,
10.5.1.175,,,,,10.5.10.175,,,,
10.5.1.176,VT2F-REFO-176T,PC - Staff,,,10.5.10.176,,,,
10.5.1.177,VT3F-CIRC-177X,PC - Staff,,,10.5.10.177,,,,
10.5.1.178,VT1F-TEEN1-178,PC - Pub,,,10.5.10.178,,,,
10.5.1.179,VT1F-TEEN2-179,PC - Pub,,,10.5.10.179,,,,
10.5.1.180,VT1F-TEEN3-180,PC - Pub,,,10.5.10.180,,,,
10.5.1.181,VT1F-TEEN4-181,PC - Pub,,,10.5.10.181,,,,
10.5.1.182,,,,,10.5.10.182,,,,
10.5.1.183,VTStar00,Printer - Star,TSP100III - VT YA Desk,,10.5.10.183,,,,
10.5.1.184,Temp IP,Temp IP,Seumas Test IP,,10.5.10.184,,,,
10.5.1.185,Temp IP,Temp IP,Seumas Test IP,,10.5.10.185,,,,
10.5.1.186,VT2F-PRTM-186X,PC - Sam,,,10.5.10.186,,,,
10.5.1.187,VTStar01,Printer - Star,TSP100III (143IIILAN),,10.5.10.187,,,,
10.5.1.188,VTStar02,Printer - Star,TSP100III (143IIILAN),,10.5.10.188,,,,
10.5.1.189,VTStar03,Printer - Star,TSP100III (143IIILAN),,10.5.10.189,,,,
10.5.1.190,VTStar04,Printer - Star,TSP100III (143IIILAN) - Teen Desk,,10.5.10.190,,,,
10.5.1.191,VB0224,PC - Staff - Business,Ardis Jensen,,10.5.10.191,,,,
10.5.1.192,VB0122,PC - Staff - Business,Antonella Kressel,,10.5.10.192,,,,
10.5.1.193,,,,,10.5.10.193,,,,
10.5.1.194,VT3F-IT-194,PC - Staff - IT,Maureen Wynkoop,,10.5.10.194,,,,
10.5.1.195,VT3F-IT-195,PC - Staff - IT,Inshore Tech,,10.5.10.195,,,,
10.5.1.196,VT3F-IT-196,PC - Staff - IT,Seumas Lowell,,10.5.10.196,,,,
10.5.1.197,VI0324,PC - Staff - IT,Kiara Nivevs,,10.5.10.197,,,,
10.5.1.198,VT3F-HR-198T,PC - Staff,Lauren Callahan,,10.5.10.198,,,,
10.5.1.199,VT3F-IT-199,PC - Staff - IT,David Graziano,,10.5.10.199,,,,
10.5.1.200,VT3F-IT-200X,PC - Staff - IT,Lisa Alderfer,,10.5.10.200,,,,
10.5.1.201,TBS Payment Kiosk,TBS cPad - Oasis,,,10.5.10.201,,,,
10.5.1.202,,,,,10.5.10.202,,,,
10.5.1.203,,,,,10.5.10.203,,,,
10.5.1.204,,,,,10.5.10.204,,,,
10.5.1.205,,,,,10.5.10.205,,,,
10.5.1.206,,,,,10.5.10.206,,,,
10.5.1.207,Dfserver-vm,Server,Deep Freeze server,,10.5.10.207,,,,
10.5.1.208,,,,,10.5.10.208,,,,
10.5.1.209,,,,,10.5.10.209,,,,
10.5.1.210,VT2F-OD-210,PC - Staff,,,10.5.10.210,,,,
10.5.1.211,VT2F-O01-211T,PC - Pub,,,10.5.10.211,,,,
10.5.1.212,VT2F-O02-212,PC - Pub,,,10.5.10.212,,,,
10.5.1.213,VT2F-O03-213,PC - Pub,,,10.5.10.213,,,,
10.5.1.214,VT2F-O04-214,PC - Pub,,,10.5.10.214,,,,
10.5.1.215,VT2F-O05-215,PC - Pub,,,10.5.10.215,,,,
10.5.1.216,VT2F-O06-216,PC - Pub,,,10.5.10.216,,,,
10.5.1.217,VT2F-O07-217,PC - Pub,,,10.5.10.217,,,,
10.5.1.218,VT2F-O08-218,PC - Pub,,,10.5.10.218,,,,
10.5.1.219,VT2F-O09-219,PC - Pub,,,10.5.10.219,,,,
10.5.1.220,VT2F-O10-220,PC - Pub,,,10.5.10.220,,,,
10.5.1.221,VT2F-O11-221,PC - Pub,,,10.5.10.221,,,,
10.5.1.222,VT2F-O12-222,PC - Pub,,,10.5.10.222,,,,
10.5.1.223,VT2F-O13-223,PC - Pub,,,10.5.10.223,,,,
10.5.1.224,VT2F-O14-224,PC - Pub,,,10.5.10.224,,,,
10.5.1.225,VT2F-O15-225,PC - Pub,,,10.5.10.225,,,,
10.5.1.226,VT2F-O16-226X,PC - Pub,,,10.5.10.226,,,,
10.5.1.227,,,,,10.5.10.227,,,,
10.5.1.228,VT2F-O18-228,PC - Pub,,,10.5.10.228,,,,
10.5.1.229,VT2F-O19-229,PC - Pub,,,10.5.10.229,,,,
10.5.1.230,VT2F-O20-230,PC - Pub,,,10.5.10.230,,,,
10.5.1.231,VT2F-O21-231,PC - Pub,,,10.5.10.231,,,,
10.5.1.232,VT2F-O22-232X,PC - Pub,,,10.5.10.232,,,,
10.5.1.233,VT2F-O23-233,PC - Pub,,,10.5.10.233,,,,
10.5.1.234,VT2F-O24-234,PC - Pub,,,10.5.10.234,,,,
10.5.1.235,VT2F-O25-235,PC - Pub,,,10.5.10.235,,,,
10.5.1.236,VT2F-O26-236,PC - Pub,,,10.5.10.236,,,,
10.5.1.237,VT2F-O27-237,PC - Pub,,,10.5.10.237,,,,
10.5.1.238,VT2F-O28-238,PC - Pub,,,10.5.10.238,,,,
10.5.1.239,VT2F-O29-239,PC - Pub,,,10.5.10.239,,,,
10.5.1.240,,,,,10.5.10.240,VT TimeClock 1,Time Clock,Gateway: 10.5.10.1 Subnet: 255.255.255.0,
10.5.1.241,,,,,10.5.10.241,VT TimeClock 2,Time Clock,Gateway: 10.5.10.1 Subnet: 255.255.255.0,
10.5.1.242,VT2F-SUS-242,PC - Sam,,,10.5.10.242,,,,
10.5.1.243,VT2F-O32-243,PC - Pub,,,10.5.10.243,,,,
10.5.1.244,VT2F-O33-244,PC - Pub,,,10.5.10.244,,,,
10.5.1.245,VT3F-SUS-245,PC - Sam,,,10.5.10.245,,,,
10.5.1.246,,,,,10.5.10.246,,,,
10.5.1.247,,,,,10.5.10.247,,,,
10.5.1.248,,,,,10.5.10.248,,,,
10.5.1.249,CCTV VT Circ Laptop,Laptop - Staff,Can not WOL,,10.5.10.249,,,,
10.5.1.250,CCTV DVD Recorder ?,??? Active,,,10.5.10.250,,,,
10.5.1.251,Credit Card terminal,,as per Jim's notes from Dec '20,,10.5.10.251,,,,
10.5.1.252,Reserved for MyPC server,.250 had a conflict?,,,10.5.10.252,,,,
10.5.1.253,Reserved for VM on MyPC Server,,,,10.5.10.253,,,,
10.5.1.254,Reserved for Dell SVCS Connect Gateway,.251 had a conflict?,,,10.5.10.254,,,,
10.5.1.255,,,,,10.5.10.255,,,,
